199.80,7.6
143.50,19.1
203.90,10.4
181.80,11.6
206.90,9.1
208.80,7.5
206.90,8.9
155.30,8.6
141.50,11.4
195.50,5.4
119.60,8.8
146.40,9.5
145.90,6.5
168.20,8.2
171.30,7.4
121.30,11.9
162.20,7.4
178.60,6.4
187.80,8.1
197.60,4.8
238.90,9
194.10,6.7
177.00,5.8
238.90,8.7
250.80,10.5
260.70,7.9
239.20,9.4
245.30,5.8
185.60,6.6
304.70,5.6
257.80,8.6
185.60,7
154.20,6.3
219.10,10
195.80,7.9
197.90,7.8
163.80,5.9
232.60,8.1
279.10,6.3
131.50,6.4
332.60,5.4
297.90,9.1
243.80,6.2
309.40,12.6
309.70,4.7
279.10,7.8
299.90,7.9
275.70,6.4
270.20,8.1
293.90,13.1
208.00,5.8
175.70,6
283.20,5.6
246.70,11.4
250.50,8.1
182.30,6.1
367.90,206.3
353.20,184.1
308.50,228.9
344.90,233.7
350.70,205.1
321.90,234.5
327.30,181.5
338.80,222.8
335.40,252.9
282.20,173.8
227.60,188.1
257.80,123.9
274.40,150.1
266.10,148
235.00,159.6
288.70,145.9
288.10,148
449.40,206.4
423.20,161.1
316.60,144.8
377.80,171.7
413.50,171.5
448.10,206.4
389.00,189.1
429.60,184.7
479.70,163.7
396.10,152.8
364.10,230.3
367.80,134
409.20,156.2
320.10,156.8
312.70,196.2
297.10,128.2
352.70,158.8
384.80,182.8
312.70,177.8
247.20,144
358.60,137.9
320.20,168.5
329.40,140
627.70,124.6
538.30,149.1
468.30,108.8
546.10,143.1
579.80,180.8
555.60,115.2
578.80,143.1
532.80,105.9
538.50,145.6
412.60,126.8
415.00,110.7
332.30,99.4
440.80,195
470.20,200.9
352.50,120.7
243.70,160.4
827.60,514.4
1026.70,622.8
879.00,737.6
700.40,444.7
950.50,618.9
921.80,593
1030.50,414.2
786.70,675.5
819.50,471.1
511.80,533.4
513.00,362.9
497.10,558.4
512.20,418.6
453.80,449.8
636.20,729.8
461.50,338.2
550.90,477.3
760.10,701.4
718.00,692
738.40,912.9
676.30,609.3
725.80,551.7
651.80,545.8
719.10,543.9
533.00,590.7
673.80,598.7
652.60,554
739.40,440.4
687.90,507
700.10,599.5
603.20,356.9
585.60,615
387.20,514.1
491.40,483.3
544.50,513
492.10,343.4
354.80,533.5
442.30,569.1
551.70,455.9
430.70,466
1023.50,540.9
945.30,708.6
1082.10,527.8
889.40,522.5
1082.90,564.6
817.00,755.8
817.10,513
964.10,758.6
720.00,569.7
599.20,505.7
684.30,496.3
491.40,491.8
762.90,531.7
573.70,584
599.50,468.3
499.80,437.7
