instance,g_best_cost,g_n_v,g_avg_time,sa_avg_cost,sa_best_cost,sa_n_v,sa_avg_time,ig_avg_cost,ig_best_cost,ig_n_v,ig_avg_time,gap
C101,199.8,3,1310.7,199.8,199.8,3,7.6,199.8,199.8,3,0.004119,0
C102,143.5,3,18000,155.08,143.5,3,19.1,143.566667,143.5,3,0.005611,0
C103,224.6,3,18000,203.9,203.9,3,10.4,203.9,203.9,3,0.004648,0
C104,182,3,18000,181.8,181.8,3,11.6,187.06,182.1,3,0.005175,0.165
C105,210.6,3,18000,206.9,206.9,3,9.1,206.9,206.9,3,0.00454,0
C106,212.4,3,18000,208.8,208.8,3,7.5,208.8,208.8,3,0.005561,0
C107,210.6,3,18000,206.9,206.9,3,8.9,206.9,206.9,3,0.004674,0
C108,158.7,3,18000,159.38,155.3,3,8.6,155.3,155.3,3,0.004087,0
C109,160.5,3,18000,143.46,141.5,3,11.4,140.966667,140.5,3,0.005136,-0.707
C201,195.5,2,188.6,195.5,195.5,2,5.4,195.5,195.5,2,0.004856,0
C202,119.6,1,195.2,119.6,119.6,1,8.8,119.6,119.6,1,0.00242,0
C203,146.4,1,18000,146.4,146.4,1,9.5,146.4,146.4,1,0.003356,0
C204,150.6,1,18000,145.9,145.9,1,6.5,145.9,145.9,1,0.004021,0
C205,168.2,2,18000,168.2,168.2,2,8.2,168.2,168.2,2,0.004418,0
C206,171.3,2,18000,171.3,171.3,2,7.4,171.3,171.3,2,0.004449,0
C207,121.3,1,18000,121.3,121.3,1,11.9,121.3,121.3,1,0.004242,0
C208,162.2,1,18000,162.2,162.2,1,7.4,162.2,162.2,1,0.004145,0
R101,178.6,2,108.9,178.6,178.6,2,6.4,178.6,178.6,2,0.003379,0
R102,187.8,2,18000,187.8,187.8,2,8.1,187.8,187.8,2,0.003028,0
R103,197.6,2,18000,197.6,197.6,2,4.8,197.6,197.6,2,0.002713,0
R104,238.9,3,18000,238.94,238.9,3,9,238.9,238.9,3,0.005524,0
R105,194.1,2,164.9,194.1,194.1,2,6.7,194.1,194.1,2,0.002954,0
R106,177,2,18000,177,177,2,5.8,177,177,2,0.003975,0
R107,238.9,2,18000,238.9,238.9,3,8.7,238.9,238.9,3,0.005114,0
R108,257.9,3,18000,251.28,250.8,2,10.5,251.2,250.8,2,0.004764,0
R109,260.7,3,18000,260.7,260.7,3,7.9,260.7,260.7,3,0.004373,0
R110,239.2,3,18000,239.2,239.2,3,9.4,239.2,239.2,3,0.005498,0
R111,245.3,2,18000,245.3,245.3,2,5.8,245.3,245.3,2,0.004055,0
R112,185.6,2,18000,185.6,185.6,2,6.6,185.6,185.6,2,0.003186,0
R201,304.7,3,653.3,304.7,304.7,3,5.6,304.7,304.7,3,0.004323,0
R202,257.8,2,18000,265.32,257.8,2,8.6,257.8,257.8,2,0.005339,0
R203,185.6,2,18000,185.6,185.6,2,7,185.6,185.6,2,0.004282,0
R204,154.2,1,922.3,154.2,154.2,1,6.3,154.2,154.2,1,0.003585,0
R205,219.1,1,18000,225.52,219.1,1,10,219.1,219.1,1,0.005309,0
R206,195.8,1,7773.5,195.8,195.8,1,7.9,195.8,195.8,1,0.003856,0
R207,197.9,1,18000,197.96,197.9,1,7.8,197.9,197.9,1,0.00351,0
R208,163.8,1,18000,163.8,163.8,1,5.9,163.8,163.8,1,0.002675,0
R209,232.6,1,2126.8,232.6,232.6,1,8.1,232.6,232.6,1,0.004184,0
R210,279.1,2,18000,279.18,279.1,2,6.3,279.1,279.1,2,0.004377,0
R211,131.5,1,514,131.5,131.5,1,6.4,131.5,131.5,1,0.002937,0
RC101,367.7,4,18000,332.6,332.6,3,5.4,332.6,332.6,3,0.004021,0
RC102,313.8,4,18000,297.9,297.9,3,9.1,297.9,297.9,3,0.003956,0
RC103,306.4,4,18000,243.8,243.8,3,6.2,243.8,243.8,3,0.003333,0
RC104,329.1,3,18000,309.4,309.4,3,12.6,309.64,309.4,3,0.004677,0
RC105,387.7,4,18000,309.7,309.7,3,4.7,309.7,309.7,3,0.003015,0
RC106,279.1,4,18000,279.1,279.1,4,7.8,279.88,279.1,4,0.004609,0
RC107,310.9,3,18000,300.56,299.9,3,7.9,299.9,299.9,3,0.005026,0
RC108,298.7,4,18000,275.7,275.7,3,6.4,275.7,275.7,3,0.003689,0
RC201,270.2,2,18000,270.56,270.2,2,8.1,270.206667,270.2,2,0.005549,0
RC202,293.9,3,18000,294.62,293.9,3,13.1,293.9,293.9,3,0.006053,0
RC203,208,1,18000,208,208,1,5.8,208,208,1,0.003588,0
RC204,175.7,1,18000,175.7,175.7,1,6,175.7,175.7,1,0.002733,0
RC205,283.2,3,18000,284.48,283.2,3,5.6,283.2,283.2,3,0.005069,0
RC206,246.7,2,18000,247.4,246.7,2,11.4,246.7,246.7,2,0.005038,0
RC207,250.5,2,18000,250.5,250.5,2,8.1,250.5,250.5,2,0.004416,0
RC208,182.3,1,18000,182.3,182.3,1,6.1,182.3,182.3,1,0.003417,0
